rel_thres,strategy,dataset,model,fold,sera_score,config
0.52,SMT,data\a1,BaggingRegressor,0,48.24519958445418,fixed_params
0.52,SMT,data\a1,BaggingRegressor,1,994.8403703784028,fixed_params
0.52,SMT,data\a1,BaggingRegressor,2,4367.55268486747,fixed_params
0.52,SMT,data\a1,BaggingRegressor,3,1263.2386626600814,fixed_params
0.52,SMT,data\a1,BaggingRegressor,4,38.41608961934509,fixed_params
0.52,SMT,data\a1,BaggingRegressor,5,37.15313911501651,fixed_params
0.52,SMT,data\a1,BaggingRegressor,6,1158.374165436236,fixed_params
0.52,SMT,data\a1,BaggingRegressor,7,23.565878087683952,fixed_params
0.52,SMT,data\a1,BaggingRegressor,8,5193.286775526683,fixed_params
0.52,SMT,data\a1,BaggingRegressor,9,6691.089846883098,fixed_params
0.52,SMT,data\a1,BaggingRegressor,10,3014.362633440614,fixed_params
0.52,SMT,data\a1,BaggingRegressor,11,1863.813690529642,fixed_params
0.52,SMT,data\a1,BaggingRegressor,12,4530.9182318745725,fixed_params
0.52,SMT,data\a1,BaggingRegressor,13,41.63247522864502,fixed_params
0.52,SMT,data\a1,BaggingRegressor,14,48.07388163522381,fixed_params
0.52,SMT,data\a1,BaggingRegressor,15,36.4935250071661,fixed_params
0.52,SMT,data\a1,BaggingRegressor,16,2138.833384233934,fixed_params
0.52,SMT,data\a1,BaggingRegressor,17,281.89040181337043,fixed_params
0.52,SMT,data\a1,BaggingRegressor,18,3986.6851148853543,fixed_params
0.52,SMT,data\a1,BaggingRegressor,19,2362.1631288402655,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,0,60.751188492791144,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,1,2556.1982718339545,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,2,4394.245079014033,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,3,3399.0452299955896,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,4,86.98934821486573,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,5,54.13218567967858,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,6,2269.5995500000004,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,7,59.14960361768891,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,8,8249.38660122581,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,9,8737.903040193698,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,10,1620.6870591422482,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,11,6060.250262624095,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,12,3116.3687202306032,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,13,66.35220425907539,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,14,61.26805660311451,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,15,56.80495568543563,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,16,4548.855759755055,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,17,1849.2185226316506,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,18,5478.506247421474,fixed_params
0.52,SMT,data\a1,DecisionTreeRegressor,19,2690.6602744118404,fixed_params
0.52,SMT,data\a1,MLPRegressor,0,16134.285187481983,fixed_params
0.52,SMT,data\a1,MLPRegressor,1,3756492.171648158,fixed_params
0.52,SMT,data\a1,MLPRegressor,2,161935.73001711146,fixed_params
0.52,SMT,data\a1,MLPRegressor,3,544008.6206751389,fixed_params
0.52,SMT,data\a1,MLPRegressor,4,11696.078443823739,fixed_params
0.52,SMT,data\a1,MLPRegressor,5,4585.399591169974,fixed_params
0.52,SMT,data\a1,MLPRegressor,6,133528.7336988756,fixed_params
0.52,SMT,data\a1,MLPRegressor,7,114614.95636058193,fixed_params
0.52,SMT,data\a1,MLPRegressor,8,121866.73098534529,fixed_params
0.52,SMT,data\a1,MLPRegressor,9,49060.93521841869,fixed_params
0.52,SMT,data\a1,MLPRegressor,10,1603039.8187330414,fixed_params
0.52,SMT,data\a1,MLPRegressor,11,390972.2107523837,fixed_params
0.52,SMT,data\a1,MLPRegressor,12,74591.72462794157,fixed_params
0.52,SMT,data\a1,MLPRegressor,13,21161.04568528046,fixed_params
0.52,SMT,data\a1,MLPRegressor,14,40961.60357203996,fixed_params
0.52,SMT,data\a1,MLPRegressor,15,18814.634021933525,fixed_params
0.52,SMT,data\a1,MLPRegressor,16,219603.2251825683,fixed_params
0.52,SMT,data\a1,MLPRegressor,17,63998.923443481886,fixed_params
0.52,SMT,data\a1,MLPRegressor,18,122658.46065573544,fixed_params
0.52,SMT,data\a1,MLPRegressor,19,193419.25253347994,fixed_params
0.52,SMT,data\a1,RandomForestRegressor,0,43.979673454653515,fixed_params
0.52,SMT,data\a1,RandomForestRegressor,1,1513.5683127029533,fixed_params
0.52,SMT,data\a1,RandomForestRegressor,2,3457.0810442141733,fixed_params
0.52,SMT,data\a1,RandomForestRegressor,3,440.0629694391727,fixed_params
0.52,SMT,data\a1,RandomForestRegressor,4,35.389360714488774,fixed_params
0.52,SMT,data\a1,RandomForestRegressor,5,32.96170804090494,fixed_params
0.52,SMT,data\a1,RandomForestRegressor,6,2024.0871098715484,fixed_params
0.52,SMT,data\a1,RandomForestRegressor,7,19.046746099675957,fixed_params
