0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
69.0,1.0,4.0,10.0,3.0,12.0,796.0,38.0,9.0,5900.0,9999.0,9999.0,9999.0,10.89,1.51,21.0,23.0,29.0,2.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,20.4,34.0,40.0,1.0,47.0,52.0,58.0,61.0
70.0,1.0,5.0,10.0,3.0,12.0,599.0,33.0,10.0,5250.0,800.0,6000.0,6000.0,14.69,992.0,16.0,23.0,29.0,2.0,6.0,30.0,8.5,6.0,25.0,8.5,21.8,34.0,37.0,1.0,48.0,52.0,58.0,61.0
76.0,1.0,4.0,10.0,3.0,12.0,993.0,39.0,10.0,5700.0,850.0,9999.0,9999.0,9.62,1.41,17.0,23.0,29.0,2.0,7.0,35.0,9999.0,7.0,28.0,9999.0,20.1,34.0,40.0,1.0,47.0,55.0,58.0,61.0
76.0,1.0,4.0,10.0,3.0,12.0,993.0,39.0,10.0,5700.0,850.0,9999.0,9999.0,9.62,1.41,17.0,23.0,29.0,2.0,7.0,35.0,9999.0,7.0,28.0,9999.0,20.1,34.0,40.0,1.0,47.0,55.0,58.0,61.0
82.0,1.0,4.0,10.0,3.0,12.0,973.0,40.0,10.0,5600.0,900.0,9999.0,9999.0,10.59,1.84,16.0,23.0,29.0,4.0,5.0,28.0,6.9,5.0,25.0,7.4,21.6,34.0,37.0,2.0,47.0,52.0,58.0,61.0
88.0,1.0,5.0,10.0,3.0,12.0,599.0,40.0,10.0,5250.0,800.0,6000.0,6000.0,18.46,992.0,16.0,23.0,29.0,2.0,6.0,30.0,8.5,6.0,25.0,8.5,18.0,34.0,37.0,1.0,48.0,52.0,58.0,61.0
88.0,1.0,5.0,10.0,3.0,12.0,599.0,40.0,10.0,5250.0,800.0,6000.0,6000.0,18.46,992.0,16.0,23.0,29.0,2.0,6.0,30.0,8.5,6.0,25.0,8.5,18.3,34.0,37.0,1.0,48.0,52.0,58.0,61.0
88.0,1.0,5.0,10.0,3.0,12.0,599.0,40.0,10.0,5250.0,800.0,6000.0,6000.0,18.46,992.0,16.0,23.0,29.0,2.0,6.0,30.0,8.5,6.0,25.0,8.5,18.3,34.0,37.0,1.0,48.0,52.0,58.0,61.0
88.0,1.0,4.0,10.0,3.0,12.0,989.0,41.0,10.0,5200.0,9999.0,9999.0,9999.0,11.18,1125.0,17.0,23.0,29.0,4.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,19.8,34.0,42.0,2.0,47.0,52.0,58.0,61.0
88.0,1.0,4.0,10.0,3.0,12.0,989.0,41.0,10.0,5200.0,9999.0,9999.0,9999.0,11.18,1125.0,17.0,23.0,29.0,4.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,20.0,34.0,42.0,2.0,47.0,52.0,58.0,61.0
88.0,1.0,4.0,10.0,3.0,12.0,989.0,41.0,10.0,5200.0,9999.0,9999.0,9999.0,11.18,1125.0,17.0,23.0,29.0,4.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,20.6,34.0,42.0,2.0,47.0,52.0,58.0,61.0
