0,1,2,3,4,5
126201.0,800.0,0.0,0.3048,71.3,0.00266337
125201.0,1000.0,0.0,0.3048,71.3,0.00266337
127591.0,1600.0,0.0,0.3048,71.3,0.00266337
127461.0,2000.0,0.0,0.3048,71.3,0.00266337
125571.0,2500.0,0.0,0.3048,71.3,0.00266337
123061.0,4000.0,0.0,0.3048,71.3,0.00266337
121301.0,5000.0,0.0,0.3048,71.3,0.00266337
119541.0,6300.0,0.0,0.3048,71.3,0.00266337
117151.0,8000.0,0.0,0.3048,71.3,0.00266337
115391.0,10000.0,0.0,0.3048,71.3,0.00266337
112241.0,12500.0,0.0,0.3048,71.3,0.00266337
108721.0,16000.0,0.0,0.3048,71.3,0.00266337
126416.0,500.0,0.0,0.3048,55.5,0.00283081
127696.0,630.0,0.0,0.3048,55.5,0.00283081
126966.0,1000.0,0.0,0.3048,55.5,0.00283081
126086.0,1250.0,0.0,0.3048,55.5,0.00283081
126986.0,1600.0,0.0,0.3048,55.5,0.00283081
126616.0,2000.0,0.0,0.3048,55.5,0.00283081
123236.0,3150.0,0.0,0.3048,55.5,0.00283081
121106.0,4000.0,0.0,0.3048,55.5,0.00283081
119606.0,5000.0,0.0,0.3048,55.5,0.00283081
117976.0,6300.0,0.0,0.3048,55.5,0.00283081
116476.0,8000.0,0.0,0.3048,55.5,0.00283081
113076.0,10000.0,0.0,0.3048,55.5,0.00283081
118129.0,200.0,0.0,0.3048,39.6,0.00310138
119319.0,250.0,0.0,0.3048,39.6,0.00310138
122779.0,315.0,0.0,0.3048,39.6,0.00310138
124809.0,400.0,0.0,0.3048,39.6,0.00310138
126959.0,500.0,0.0,0.3048,39.6,0.00310138
128629.0,630.0,0.0,0.3048,39.6,0.00310138
129099.0,800.0,0.0,0.3048,39.6,0.00310138
124049.0,1600.0,0.0,0.3048,39.6,0.00310138
121399.0,2500.0,0.0,0.3048,39.6,0.00310138
120319.0,3150.0,0.0,0.3048,39.6,0.00310138
119229.0,4000.0,0.0,0.3048,39.6,0.00310138
117789.0,5000.0,0.0,0.3048,39.6,0.00310138
116229.0,6300.0,0.0,0.3048,39.6,0.00310138
114779.0,8000.0,0.0,0.3048,39.6,0.00310138
112139.0,10000.0,0.0,0.3048,39.6,0.00310138
109619.0,12500.0,0.0,0.3048,39.6,0.00310138
117195.0,200.0,0.0,0.3048,31.7,0.00331266
118595.0,250.0,0.0,0.3048,31.7,0.00331266
122765.0,315.0,0.0,0.3048,31.7,0.00331266
125045.0,400.0,0.0,0.3048,31.7,0.00331266
127315.0,500.0,0.0,0.3048,31.7,0.00331266
129095.0,630.0,0.0,0.3048,31.7,0.00331266
129235.0,800.0,0.0,0.3048,31.7,0.00331266
127365.0,1000.0,0.0,0.3048,31.7,0.00331266
124355.0,1250.0,0.0,0.3048,31.7,0.00331266
122365.0,1600.0,0.0,0.3048,31.7,0.00331266
122375.0,2000.0,0.0,0.3048,31.7,0.00331266
120755.0,2500.0,0.0,0.3048,31.7,0.00331266
119135.0,3150.0,0.0,0.3048,31.7,0.00331266
118145.0,4000.0,0.0,0.3048,31.7,0.00331266
115645.0,5000.0,0.0,0.3048,31.7,0.00331266
113775.0,6300.0,0.0,0.3048,31.7,0.00331266
110515.0,8000.0,0.0,0.3048,31.7,0.00331266
108265.0,10000.0,0.0,0.3048,31.7,0.00331266
127122.0,800.0,1.5,0.3048,71.3,0.00336729
125992.0,1000.0,1.5,0.3048,71.3,0.00336729
125872.0,1250.0,1.5,0.3048,71.3,0.00336729
126632.0,1600.0,1.5,0.3048,71.3,0.00336729
126642.0,2000.0,1.5,0.3048,71.3,0.00336729
124512.0,2500.0,1.5,0.3048,71.3,0.00336729
123392.0,3150.0,1.5,0.3048,71.3,0.00336729
121762.0,4000.0,1.5,0.3048,71.3,0.00336729
119632.0,5000.0,1.5,0.3048,71.3,0.00336729
118122.0,6300.0,1.5,0.3048,71.3,0.00336729
115372.0,8000.0,1.5,0.3048,71.3,0.00336729
113492.0,10000.0,1.5,0.3048,71.3,0.00336729
106582.0,16000.0,1.5,0.3048,71.3,0.00336729
121851.0,315.0,1.5,0.3048,39.6,0.00392107
126661.0,500.0,1.5,0.3048,39.6,0.00392107
128311.0,630.0,1.5,0.3048,39.6,0.00392107
128831.0,800.0,1.5,0.3048,39.6,0.00392107
127581.0,1000.0,1.5,0.3048,39.6,0.00392107
125211.0,1250.0,1.5,0.3048,39.6,0.00392107
122211.0,1600.0,1.5,0.3048,39.6,0.00392107
122101.0,2000.0,1.5,0.3048,39.6,0.00392107
120981.0,2500.0,1.5,0.3048,39.6,0.00392107
119111.0,3150.0,1.5,0.3048,39.6,0.00392107
116241.0,5000.0,1.5,0.3048,39.6,0.00392107
114751.0,6300.0,1.5,0.3048,39.6,0.00392107
112251.0,8000.0,1.5,0.3048,39.6,0.00392107
