rel_thres,strategy,dataset,model,fold,sera_score,config
0.88,SMT,data\a1,BaggingRegressor,0,63.58147035307252,fixed_params
0.88,SMT,data\a1,BaggingRegressor,1,2175.3640151501127,fixed_params
0.88,SMT,data\a1,BaggingRegressor,2,3984.881706000001,fixed_params
0.88,SMT,data\a1,BaggingRegressor,3,1536.5850724999996,fixed_params
0.88,SMT,data\a1,BaggingRegressor,4,37.328100410400296,fixed_params
0.88,SMT,data\a1,BaggingRegressor,5,36.84458360521374,fixed_params
0.88,SMT,data\a1,BaggingRegressor,6,2167.4461029999998,fixed_params
0.88,SMT,data\a1,BaggingRegressor,7,24.271075667280943,fixed_params
0.88,SMT,data\a1,BaggingRegressor,8,7224.981180000001,fixed_params
0.88,SMT,data\a1,BaggingRegressor,9,8717.29507526527,fixed_params
0.88,SMT,data\a1,BaggingRegressor,10,2903.4168942687365,fixed_params
0.88,SMT,data\a1,BaggingRegressor,11,1059.2551149999997,fixed_params
0.88,SMT,data\a1,BaggingRegressor,12,3905.671514,fixed_params
0.88,SMT,data\a1,BaggingRegressor,13,48.51573831271684,fixed_params
0.88,SMT,data\a1,BaggingRegressor,14,46.14625515588597,fixed_params
0.88,SMT,data\a1,BaggingRegressor,15,36.3529255,fixed_params
0.88,SMT,data\a1,BaggingRegressor,16,3097.0802959984335,fixed_params
0.88,SMT,data\a1,BaggingRegressor,17,1119.4307277706234,fixed_params
0.88,SMT,data\a1,BaggingRegressor,18,4733.6889576900385,fixed_params
0.88,SMT,data\a1,BaggingRegressor,19,3458.0320855000004,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,0,57.95141745096124,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,1,4668.983842071007,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,2,6653.106250000002,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,3,1797.1162999999997,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,4,78.95394726885552,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,5,36.74453137168322,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,6,3826.1365500000006,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,7,33.57525476859862,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,8,6001.023749999999,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,9,5780.700120080672,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,10,2396.925264831536,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,11,2540.2764500000008,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,12,7266.35335,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,13,74.6672234260856,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,14,59.02740000000001,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,15,36.67815,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,16,4141.8684751777655,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,17,2958.971722974223,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,18,6888.52665,fixed_params
0.88,SMT,data\a1,DecisionTreeRegressor,19,4693.3189,fixed_params
0.88,SMT,data\a1,MLPRegressor,0,879384.6525522638,fixed_params
0.88,SMT,data\a1,MLPRegressor,1,16461348.244951973,fixed_params
0.88,SMT,data\a1,MLPRegressor,2,747053.9208275296,fixed_params
