rel_thres,strategy,dataset,model,fold,sera_score,config
0.74,SMT,data\a1,BaggingRegressor,0,52.487911613177175,fixed_params
0.74,SMT,data\a1,BaggingRegressor,1,2416.20669207788,fixed_params
0.74,SMT,data\a1,BaggingRegressor,2,4246.102523857524,fixed_params
0.74,SMT,data\a1,BaggingRegressor,3,1773.2743595197394,fixed_params
0.74,SMT,data\a1,BaggingRegressor,4,40.34029347458878,fixed_params
0.74,SMT,data\a1,BaggingRegressor,5,29.053694675697326,fixed_params
0.74,SMT,data\a1,BaggingRegressor,6,2524.226872836458,fixed_params
0.74,SMT,data\a1,BaggingRegressor,7,24.66842035960613,fixed_params
0.74,SMT,data\a1,BaggingRegressor,8,5377.819500657063,fixed_params
0.74,SMT,data\a1,BaggingRegressor,9,5313.67537461557,fixed_params
0.74,SMT,data\a1,BaggingRegressor,10,3177.524115807437,fixed_params
0.74,SMT,data\a1,BaggingRegressor,11,1730.220144247767,fixed_params
0.74,SMT,data\a1,BaggingRegressor,12,3693.350201723249,fixed_params
0.74,SMT,data\a1,BaggingRegressor,13,37.090182256393724,fixed_params
0.74,SMT,data\a1,BaggingRegressor,14,44.128196311528875,fixed_params
0.74,SMT,data\a1,BaggingRegressor,15,44.84993353529159,fixed_params
0.74,SMT,data\a1,BaggingRegressor,16,2884.0247586225964,fixed_params
0.74,SMT,data\a1,BaggingRegressor,17,165.8365212688926,fixed_params
0.74,SMT,data\a1,BaggingRegressor,18,5305.30069453703,fixed_params
0.74,SMT,data\a1,BaggingRegressor,19,3255.4931981274894,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,0,106.14828645179936,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,1,2851.619700000001,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,2,5854.867700778548,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,3,2075.3119999999994,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,4,55.19242663753028,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,5,51.59723107628291,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,6,2781.3506908574864,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,7,45.14183325506241,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,8,7563.22905,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,9,4857.371940955538,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,10,7087.759380400499,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,11,1854.4642355943754,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,12,9417.41795220382,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,13,68.16404999999999,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,14,58.17318904805713,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,15,51.570041158012145,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,16,6000.670144124451,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,17,2532.7150988334406,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,18,8004.503977085836,fixed_params
0.74,SMT,data\a1,DecisionTreeRegressor,19,3000.527061198954,fixed_params
0.74,SMT,data\a1,MLPRegressor,0,214770.45514540878,fixed_params
0.74,SMT,data\a1,MLPRegressor,1,29672728.10966064,fixed_params
0.74,SMT,data\a1,MLPRegressor,2,51184.32450479833,fixed_params
0.74,SMT,data\a1,MLPRegressor,3,217124.3194876558,fixed_params
0.74,SMT,data\a1,MLPRegressor,4,47173.3879683783,fixed_params
0.74,SMT,data\a1,MLPRegressor,5,79483.98859047912,fixed_params
0.74,SMT,data\a1,MLPRegressor,6,43632.94174962947,fixed_params
0.74,SMT,data\a1,MLPRegressor,7,14011.710108569612,fixed_params
0.74,SMT,data\a1,MLPRegressor,8,32942.48089926456,fixed_params
0.74,SMT,data\a1,MLPRegressor,9,136955.3939606304,fixed_params
0.74,SMT,data\a1,MLPRegressor,10,76356.57844396106,fixed_params
0.74,SMT,data\a1,MLPRegressor,11,87540.78799066419,fixed_params
0.74,SMT,data\a1,MLPRegressor,12,13318.465488462372,fixed_params
0.74,SMT,data\a1,MLPRegressor,13,48635.50666596648,fixed_params
0.74,SMT,data\a1,MLPRegressor,14,22079.850284823853,fixed_params
0.74,SMT,data\a1,MLPRegressor,15,37204.382895721785,fixed_params
0.74,SMT,data\a1,MLPRegressor,16,263042.67733756284,fixed_params
0.74,SMT,data\a1,MLPRegressor,17,34056.23878753906,fixed_params
0.74,SMT,data\a1,MLPRegressor,18,1161937.1522633985,fixed_params
0.74,SMT,data\a1,MLPRegressor,19,592612.4956982926,fixed_params
0.74,SMT,data\a1,RandomForestRegressor,0,39.762885108274745,fixed_params
0.74,SMT,data\a1,RandomForestRegressor,1,1311.5656344258673,fixed_params
0.74,SMT,data\a1,RandomForestRegressor,2,4201.401197580154,fixed_params
0.74,SMT,data\a1,RandomForestRegressor,3,422.8392158025419,fixed_params
0.74,SMT,data\a1,RandomForestRegressor,4,37.27003192783895,fixed_params
0.74,SMT,data\a1,RandomForestRegressor,5,31.50519750693939,fixed_params
0.74,SMT,data\a1,RandomForestRegressor,6,1472.80801784211,fixed_params
0.74,SMT,data\a1,RandomForestRegressor,7,17.295544219949438,fixed_params
0.74,SMT,data\a1,RandomForestRegressor,8,5499.778257659075,fixed_params
0.74,SMT,data\a1,RandomForestRegressor,9,5236.260157988102,fixed_params
