rel_thres,strategy,dataset,model,fold,sera_score,config
0.72,SMT,data\a1,BaggingRegressor,0,38.98389370165471,fixed_params
0.72,SMT,data\a1,BaggingRegressor,1,2623.8293721799255,fixed_params
0.72,SMT,data\a1,BaggingRegressor,2,4722.169407272741,fixed_params
0.72,SMT,data\a1,BaggingRegressor,3,746.1268000000002,fixed_params
0.72,SMT,data\a1,BaggingRegressor,4,36.91670658784409,fixed_params
0.72,SMT,data\a1,BaggingRegressor,5,36.41704062842548,fixed_params
0.72,SMT,data\a1,BaggingRegressor,6,2503.270128063827,fixed_params
0.72,SMT,data\a1,BaggingRegressor,7,14.891640500000001,fixed_params
0.72,SMT,data\a1,BaggingRegressor,8,5491.100634423467,fixed_params
0.72,SMT,data\a1,BaggingRegressor,9,6638.460377502639,fixed_params
0.72,SMT,data\a1,BaggingRegressor,10,3888.1299681327473,fixed_params
0.72,SMT,data\a1,BaggingRegressor,11,2397.5107385,fixed_params
0.72,SMT,data\a1,BaggingRegressor,12,3629.349928499999,fixed_params
0.72,SMT,data\a1,BaggingRegressor,13,54.91454811963716,fixed_params
0.72,SMT,data\a1,BaggingRegressor,14,52.169303591414675,fixed_params
0.72,SMT,data\a1,BaggingRegressor,15,37.716697,fixed_params
0.72,SMT,data\a1,BaggingRegressor,16,2841.1147853899006,fixed_params
0.72,SMT,data\a1,BaggingRegressor,17,615.6951484999998,fixed_params
0.72,SMT,data\a1,BaggingRegressor,18,5893.973767837819,fixed_params
0.72,SMT,data\a1,BaggingRegressor,19,3845.2859955539843,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,0,52.4286968141632,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,1,4966.588476461374,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,2,8328.852931292302,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,3,4201.450132913789,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,4,57.42928370599033,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,5,59.48142785578501,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,6,4711.6547,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,7,65.66672820188532,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,8,9483.924557958453,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,9,12670.124700598246,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,10,7482.7226949452315,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,11,7149.633359355116,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,12,8533.828020790928,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,13,30.858241559932885,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,14,62.52149471039038,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,15,33.406021519573294,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,16,3635.84545,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,17,2629.404736534274,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,18,5945.826420509665,fixed_params
0.72,SMT,data\a1,DecisionTreeRegressor,19,6553.643600000001,fixed_params
0.72,SMT,data\a1,MLPRegressor,0,117948.58094075929,fixed_params
0.72,SMT,data\a1,MLPRegressor,1,12893995.720123274,fixed_params
0.72,SMT,data\a1,MLPRegressor,2,156814.53970458178,fixed_params
0.72,SMT,data\a1,MLPRegressor,3,265424.62878495804,fixed_params
0.72,SMT,data\a1,MLPRegressor,4,18337.822470320723,fixed_params
0.72,SMT,data\a1,MLPRegressor,5,13391.471152733679,fixed_params
0.72,SMT,data\a1,MLPRegressor,6,71098.36102041382,fixed_params
0.72,SMT,data\a1,MLPRegressor,7,26201.274146190404,fixed_params
0.72,SMT,data\a1,MLPRegressor,8,19458.334569375234,fixed_params
0.72,SMT,data\a1,MLPRegressor,9,151189.04656011847,fixed_params
0.72,SMT,data\a1,MLPRegressor,10,1782708.4314866962,fixed_params
0.72,SMT,data\a1,MLPRegressor,11,75218.758928108,fixed_params
0.72,SMT,data\a1,MLPRegressor,12,35167.4137594063,fixed_params
0.72,SMT,data\a1,MLPRegressor,13,60607.31036110268,fixed_params
0.72,SMT,data\a1,MLPRegressor,14,128643.22413784752,fixed_params
0.72,SMT,data\a1,MLPRegressor,15,1255.3917692381065,fixed_params
0.72,SMT,data\a1,MLPRegressor,16,121582.1370232281,fixed_params
0.72,SMT,data\a1,MLPRegressor,17,31953.589403501726,fixed_params
0.72,SMT,data\a1,MLPRegressor,18,214479.75402967117,fixed_params
0.72,SMT,data\a1,MLPRegressor,19,659958.1573198993,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,0,38.43918428847062,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,1,1270.4066370906744,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,2,4425.629469806784,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,3,539.6446695965184,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,4,38.75900637059233,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,5,32.112796794615186,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,6,1733.7213758250016,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,7,20.163554362840898,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,8,5864.138696665328,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,9,6226.794868593771,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,10,2050.6559731471443,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,11,2001.6734634206543,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,12,4452.640311408267,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,13,48.70622723429782,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,14,40.28325818832628,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,15,36.44338300847769,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,16,2529.9760467415335,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,17,309.9153745709819,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,18,3860.5079367158505,fixed_params
0.72,SMT,data\a1,RandomForestRegressor,19,2956.9415804928917,fixed_params
0.72,SMT,data\a1,SVR,0,51.779661122418766,fixed_params
0.72,SMT,data\a1,SVR,1,2527.7650224526337,fixed_params
0.72,SMT,data\a1,SVR,2,4978.3001404562365,fixed_params
0.72,SMT,data\a1,SVR,3,2626.3279046514967,fixed_params
0.72,SMT,data\a1,SVR,4,34.30474545265701,fixed_params
0.72,SMT,data\a1,SVR,5,53.17168324928675,fixed_params
0.72,SMT,data\a1,SVR,6,1340.925146377448,fixed_params
0.72,SMT,data\a1,SVR,7,26.94955001081211,fixed_params
0.72,SMT,data\a1,SVR,8,6840.7455401342995,fixed_params
0.72,SMT,data\a1,SVR,9,8479.020577952819,fixed_params
0.72,SMT,data\a1,SVR,10,5660.069521519568,fixed_params
0.72,SMT,data\a1,SVR,11,1915.9673376412065,fixed_params
0.72,SMT,data\a1,SVR,12,4638.076560575488,fixed_params
0.72,SMT,data\a1,SVR,13,40.826762520795135,fixed_params
0.72,SMT,data\a1,SVR,14,55.06084349129918,fixed_params
0.72,SMT,data\a1,SVR,15,41.123236039758005,fixed_params
0.72,SMT,data\a1,SVR,16,3047.910212753569,fixed_params
0.72,SMT,data\a1,SVR,17,1330.2969614312121,fixed_params
0.72,SMT,data\a1,SVR,18,5745.338694392754,fixed_params
0.72,SMT,data\a1,SVR,19,4961.915946734792,fixed_params
0.72,SMT,data\a1,XGBRegressor,0,60.31438313152006,fixed_params
0.72,SMT,data\a1,XGBRegressor,1,2757.8596353149337,fixed_params
0.72,SMT,data\a1,XGBRegressor,2,6323.923524391,fixed_params
0.72,SMT,data\a1,XGBRegressor,3,481.6370995044415,fixed_params
0.72,SMT,data\a1,XGBRegressor,4,36.37439555583174,fixed_params
0.72,SMT,data\a1,XGBRegressor,5,46.549089149668525,fixed_params
0.72,SMT,data\a1,XGBRegressor,6,2282.8584018415963,fixed_params
0.72,SMT,data\a1,XGBRegressor,7,25.89694796534999,fixed_params
0.72,SMT,data\a1,XGBRegressor,8,8911.769728887259,fixed_params
0.72,SMT,data\a1,XGBRegressor,9,7798.663242750098,fixed_params
0.72,SMT,data\a1,XGBRegressor,10,1479.825595347443,fixed_params
0.72,SMT,data\a1,XGBRegressor,11,1119.8703405617325,fixed_params
0.72,SMT,data\a1,XGBRegressor,12,2445.8082343687392,fixed_params
0.72,SMT,data\a1,XGBRegressor,13,42.96239216832892,fixed_params
0.72,SMT,data\a1,XGBRegressor,14,44.378940724906286,fixed_params
0.72,SMT,data\a1,XGBRegressor,15,42.46621119616036,fixed_params
0.72,SMT,data\a1,XGBRegressor,16,2945.661349962328,fixed_params
0.72,SMT,data\a1,XGBRegressor,17,729.7781357906852,fixed_params
0.72,SMT,data\a1,XGBRegressor,18,5167.38011974366,fixed_params
0.72,SMT,data\a1,XGBRegressor,19,3690.2350108760143,fixed_params
0.72,RO,data\a1,BaggingRegressor,0,49.52434149999999,fixed_params
0.72,RO,data\a1,BaggingRegressor,1,1562.5392090000003,fixed_params
0.72,RO,data\a1,BaggingRegressor,2,4245.480992000001,fixed_params
0.72,RO,data\a1,BaggingRegressor,3,339.7154714999998,fixed_params
0.72,RO,data\a1,BaggingRegressor,4,34.6276545,fixed_params
0.72,RO,data\a1,BaggingRegressor,5,37.4557575,fixed_params
0.72,RO,data\a1,BaggingRegressor,6,2029.3432340000004,fixed_params
0.72,RO,data\a1,BaggingRegressor,7,31.8002745,fixed_params
0.72,RO,data\a1,BaggingRegressor,8,7688.283003499998,fixed_params
0.72,RO,data\a1,BaggingRegressor,9,6328.971829499999,fixed_params
0.72,RO,data\a1,BaggingRegressor,10,2748.9996364999997,fixed_params
0.72,RO,data\a1,BaggingRegressor,11,2944.525798999999,fixed_params
0.72,RO,data\a1,BaggingRegressor,12,4795.497586499999,fixed_params
0.72,RO,data\a1,BaggingRegressor,13,53.5553465,fixed_params
0.72,RO,data\a1,BaggingRegressor,14,40.5137835,fixed_params
0.72,RO,data\a1,BaggingRegressor,15,45.0465895,fixed_params
0.72,RO,data\a1,BaggingRegressor,16,2549.5460470000003,fixed_params
0.72,RO,data\a1,BaggingRegressor,17,334.1844949999998,fixed_params
0.72,RO,data\a1,BaggingRegressor,18,3159.167102,fixed_params
0.72,RO,data\a1,BaggingRegressor,19,3102.2846270000005,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,0,71.7802,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,1,4017.744800000001,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,2,4632.127500000001,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,3,2665.25405,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,4,42.1101,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,5,54.53775000000001,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,6,5163.311949999998,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,7,22.62695,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,8,7382.555399999999,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,9,14070.4884,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,10,2275.2854000000007,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,11,5037.57715,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,12,6304.6092,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,13,61.812949999999994,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,14,74.93945000000001,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,15,52.41450000000001,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,16,1198.43125,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,17,99.87089999999992,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,18,4807.985049999999,fixed_params
0.72,RO,data\a1,DecisionTreeRegressor,19,4294.339800000002,fixed_params
0.72,RO,data\a1,MLPRegressor,0,18122.094347382765,fixed_params
0.72,RO,data\a1,MLPRegressor,1,1350898.5407441657,fixed_params
0.72,RO,data\a1,MLPRegressor,2,93986.33958140665,fixed_params
0.72,RO,data\a1,MLPRegressor,3,5799741.050726187,fixed_params
0.72,RO,data\a1,MLPRegressor,4,15435.712478193389,fixed_params
0.72,RO,data\a1,MLPRegressor,5,2294.005187719464,fixed_params
0.72,RO,data\a1,MLPRegressor,6,86780.9560267737,fixed_params
0.72,RO,data\a1,MLPRegressor,7,59235.946088264056,fixed_params
0.72,RO,data\a1,MLPRegressor,8,24408.835100508164,fixed_params
0.72,RO,data\a1,MLPRegressor,9,123671.88374320176,fixed_params
0.72,RO,data\a1,MLPRegressor,10,1003613.800540958,fixed_params
0.72,RO,data\a1,MLPRegressor,11,807418.6028558853,fixed_params
0.72,RO,data\a1,MLPRegressor,12,17729.236637464826,fixed_params
0.72,RO,data\a1,MLPRegressor,13,25922.981047531317,fixed_params
0.72,RO,data\a1,MLPRegressor,14,30784.35298197866,fixed_params
0.72,RO,data\a1,MLPRegressor,15,51166.6010075066,fixed_params
0.72,RO,data\a1,MLPRegressor,16,58786.47710887288,fixed_params
0.72,RO,data\a1,MLPRegressor,17,48358.00477215864,fixed_params
0.72,RO,data\a1,MLPRegressor,18,199076.117441699,fixed_params
0.72,RO,data\a1,MLPRegressor,19,202959.58613080703,fixed_params
0.72,RO,data\a1,RandomForestRegressor,0,39.39984297000001,fixed_params
0.72,RO,data\a1,RandomForestRegressor,1,1840.3543758449998,fixed_params
0.72,RO,data\a1,RandomForestRegressor,2,4635.459533295,fixed_params
0.72,RO,data\a1,RandomForestRegressor,3,655.01958061,fixed_params
0.72,RO,data\a1,RandomForestRegressor,4,34.039640485,fixed_params
0.72,RO,data\a1,RandomForestRegressor,5,35.06465646500001,fixed_params
0.72,RO,data\a1,RandomForestRegressor,6,1589.9034801850012,fixed_params
0.72,RO,data\a1,RandomForestRegressor,7,19.12144242,fixed_params
0.72,RO,data\a1,RandomForestRegressor,8,7300.457270899998,fixed_params
0.72,RO,data\a1,RandomForestRegressor,9,6972.870888244999,fixed_params
0.72,RO,data\a1,RandomForestRegressor,10,2007.2382075149976,fixed_params
0.72,RO,data\a1,RandomForestRegressor,11,1644.3110653250012,fixed_params
0.72,RO,data\a1,RandomForestRegressor,12,2604.9095397949986,fixed_params
0.72,RO,data\a1,RandomForestRegressor,13,46.91705560499999,fixed_params
0.72,RO,data\a1,RandomForestRegressor,14,39.91932667,fixed_params
0.72,RO,data\a1,RandomForestRegressor,15,40.99438653500001,fixed_params
0.72,RO,data\a1,RandomForestRegressor,16,2355.93515749,fixed_params
0.72,RO,data\a1,RandomForestRegressor,17,192.42193625999946,fixed_params
0.72,RO,data\a1,RandomForestRegressor,18,3691.8441932400015,fixed_params
0.72,RO,data\a1,RandomForestRegressor,19,3521.1036517400003,fixed_params
0.72,RO,data\a1,SVR,0,52.22066433589412,fixed_params
0.72,RO,data\a1,SVR,1,2496.2907410653243,fixed_params
0.72,RO,data\a1,SVR,2,5094.2863190185535,fixed_params
0.72,RO,data\a1,SVR,3,3067.282114294566,fixed_params
0.72,RO,data\a1,SVR,4,34.31439159100097,fixed_params
0.72,RO,data\a1,SVR,5,52.9788557348383,fixed_params
0.72,RO,data\a1,SVR,6,1394.168039736552,fixed_params
0.72,RO,data\a1,SVR,7,24.186642094987263,fixed_params
0.72,RO,data\a1,SVR,8,7265.007326709731,fixed_params
0.72,RO,data\a1,SVR,9,8801.268280292556,fixed_params
0.72,RO,data\a1,SVR,10,5652.433948391772,fixed_params
0.72,RO,data\a1,SVR,11,1935.3062518267568,fixed_params
0.72,RO,data\a1,SVR,12,4810.587447956214,fixed_params
0.72,RO,data\a1,SVR,13,41.03690068068883,fixed_params
0.72,RO,data\a1,SVR,14,54.96777101902742,fixed_params
0.72,RO,data\a1,SVR,15,40.48371993752447,fixed_params
0.72,RO,data\a1,SVR,16,3097.5324420428747,fixed_params
0.72,RO,data\a1,SVR,17,1399.6784092668343,fixed_params
0.72,RO,data\a1,SVR,18,6114.315116790384,fixed_params
